Versions,Curve_Similarity
"V3,V2",0.8541617
"V3, V3.1",0.8608524
"V3.2,V3.3.1",0.9175627
"V3,V4",0.8868663
"V1,V3",0.9707133
"V1,V7",0.8444205
"V2,V4",0.9039977
"V2,V5",0.8921569
"V2,V7",0.8645606
"V3,V7",0.8583818
"V5,V7",0.955846
"V1,V6",0.9176743
"V2,V3",0.8971092
"V2,V4",0.878938
"V2,V5",0.9593005
"V2,V6",0.8713562
"V3,V4",0.9337039
"V3,V5",0.9077863
"V4,V5",0.8805942
"V1,V2",0.9032717
"V2,V3",0.8454362
"V3,V4",0.8529483
