,,,R2,,,AIC,
,,Weibull ,Gamma ,Rayleigh,Weibull ,Gamma ,Rayleigh
,V 3.2,0.92,0.89,0.91,208.74,214.1,209.29
Eclipse JDT,V 2,0.93,0.92,0.92,217.77,220.76,217.06
,V 3,0.99,0.98,0.99,169.51,181.69,168.31
,V 2.1,0.95,0.98,0.78,141.44,129.75,160.23
Eclipse JDT,V 2,0.97,0.95,0.73,146.48,152.28,175.09
,V 3,0.94,0.9,0.85,165.8,171.75,174.73
,V 2 ,0.94,0.92,0.3,239.34,245.05,284.84
Eclipse CDT,V 3,0.98,0.24,0.27,133.19,185.69,182.75
,V 4,0.97,0.99,0.25,218.18,193.57,285
