Versions,Curve_Similarity
"V2.3,V2.2",0.8541617
"V4.3,V4.4",0.8868663
"V3.3, V3.3.1",0.8608524
"V3.2,V3.3.1",0.9175627
"b1,b3",0.9707133
"b1,b7",0.8444205
"b2,b4",0.9039977
"b2,b5",0.8921569
"b2,b7",0.8645606
"b3,b7",0.8583818
"b5,b7",0.955846
"e1,e6",0.9176743
"e2,e3",0.8971092
"e2,e4",0.878938
"e2,e5",0.9593005
"e2,e6",0.8713562
"e3,e4",0.9337039
"e3,e5",0.9077863
"e4,e5",0.8805942
"t1,t2",0.9032717
"t2,t3",0.8454362
"t3,t4",0.8529483
